index,p_die
0,0.00627762483365135
1,0.00509191777912987
2,0.00390479594191429
3,0.0027162576338895
4,0.00152630116492591
5,0.00033492484287756
6,0.000312378151775872
7,0.000289830952150627
8,0.000267283243990279
9,0.000244735027283394
10,0.000222186302018534
11,0.000235372261413458
12,0.000248558046900271
13,0.000261743658481195
14,0.00027492909615856
15,0.000288114359934588
16,0.000346230416035986
17,0.000404343093687976
18,0.000462452393087065
19,0.000520558314429542
20,0.000578660857911917
21,0.000654681564887683
22,0.000730696489369631
23,0.0008067056317973
24,0.00088270899261067
25,0.000958706572249501
26,0.00101077076748224
27,0.00106283224943327
28,0.00111489101824414
29,0.00116694707405607
30,0.00121900041701051
31,0.00124675541953256
32,0.00127450965077414
33,0.00130226311075687
34,0.00133001579950198
35,0.00135776771703122
36,0.00139054000690608
37,0.00142331122129769
38,0.00145608136024133
39,0.00148885042377245
40,0.00152161841192611
41,0.00159644960727812
42,0.00167127519438859
43,0.00174609517367808
44,0.0018209095455668
45,0.00189571831047486
46,0.00205396943186675
47,0.0022121954622758
48,0.00237039640568015
49,0.00252857226605741
50,0.00268672304738471
51,0.00298362428572718
52,0.00328043713625081
53,0.00357716162526867
54,0.00387379777908603
55,0.00417034562400043
56,0.00468982885259239
57,0.00520904108822529
58,0.0057279824722648
59,0.00624665314600326
60,0.00676505325065901
61,0.00763569661821073
62,0.00850557680291642
63,0.00937469447376193
64,0.0102430502991465
65,0.0111106449468837
66,0.0125158637162962
67,0.0139190856598962
68,0.0153203136151873
69,0.0167195504156409
70,0.0181167988907023
71,0.0202812476617492
72,0.0224409251540156
73,0.0245958418852376
74,0.0267460083499662
75,0.0288914350196186
76,0.032011605364716
77,0.0351217506072312
78,0.0382219029578035
79,0.0413120945235795
80,0.0443923573085459
81,0.0484918590481299
82,0.052573774161402
83,0.056638178093976
84,0.0606851459678083
85,0.0647147525825865
86,0.0694914352284687
87,0.0742437224322519
88,0.0789717387861768
89,0.083675608246168
90,0.0883554541350828
91,0.093199320310709
92,0.0980174494382348
93,0.102809978267029
94,0.107577042819868
95,0.112318778396793
96,0.116585549577695
97,0.120831811891374
98,0.125057663916736
99,0.129263203758853
100,0.13344852905124
101,0.136766135595441
102,0.140071040628479
103,0.143363292778298
104,0.146642940486668
105,0.149910032009901
106,0.152249154785547
107,0.154581841189085
108,0.156908108930952
109,0.159227975672851
110,0.16154145902789
111,0.590074890532549
